"id","servidor","latencia_ms","uso_cpu","error_log"
1,"Srv_B",57.2346948583612,77.6241515905131,"Exito"
2,"Srv_A",46.5589901287847,38.9854489194695,"Exito"
3,"Srv_A",53.7299100942908,26.606897873804,"Exito"
4,"Srv_B",35.7116036137109,74.1109453632962,"Exito"
5,"Srv_A",45.608071235861,78.2715101186186,"Exito"
6,"Srv_A",48.249933805074,34.2424285241868,"Exito"
7,"Srv_A",57.864065457553,52.0887275037821,"Exito"
8,"Srv_B",40.4817133093483,73.0366439912468,"Exito"
9,"Srv_A",61.5941165263423,96.8135321952868,"Exito"
10,"Srv_B",50.2927135224134,40.3543223151937,"Exito"
11,"Srv_B",44.7266416487834,23.9558221558109,"Exito"
12,"Srv_A",59.1020331609889,45.4317029921804,"Exito"
13,"Srv_A",46.7404159485362,6.70255268272012,"Exito"
14,"Srv_A",42.3362757045484,39.7945394467097,"Exito"
15,"Srv_B",40.7936677264337,94.4013050100766,"Exito"
16,"Srv_A",45.1119615359931,71.9575769337825,"Exito"
17,"Srv_B",52.6370146571137,48.483577723382,"Exito"
18,"Srv_B",38.6440257587988,72.810108167585,"Exito"
19,"Srv_B",45.8147154994682,18.1222765611019,"Exito"
20,"Srv_B",44.4185566783652,72.8150428999215,"Exito"
21,"Srv_B",46.9648068914558,54.1805199154187,"Exito"
22,"Srv_B",36.8848189330033,27.9191405291203,"Exito"
23,"Srv_B",54.600098853084,67.4900451416615,"Exito"
24,"Srv_B",52.7930308348511,39.4480675929226,"Exito"
25,"Srv_B",25.8387256884989,21.2569790005218,"Exito"
26,"Srv_A",50.7508724887434,40.4353129616939,"Fallo"
27,"Srv_A",60.1695287527757,80.6082771571819,"Exito"
28,"Srv_A",59.72945658531,66.8596112050582,"Exito"
29,"Srv_A",51.5130502693693,31.6181665884797,"Exito"
30,"Srv_A",47.8622402577305,18.7803526900243,"Exito"
31,"Srv_B",42.3524930112053,23.51784269372,"Exito"
32,"Srv_A",38.5739470062158,60.4244975778274,"Exito"
33,"Srv_B",37.2350504311784,28.2691442444921,"Exito"
34,"Srv_B",37.6516959955448,48.6921866699122,"Exito"
35,"Srv_B",51.1139920901725,37.6036971884314,"Exito"
36,"Srv_B",45.3247812366524,53.9177087270655,"Exito"
37,"Srv_B",44.5809630966921,43.0313919801265,"Exito"
38,"Srv_B",39.9826544563741,20.6272833964322,"Exito"
39,"Srv_A",37.8890914132064,6.57459128694609,"Exito"
40,"Srv_B",41.7822751911385,20.6157087816391,"Exito"
41,"Srv_B",35.803012994091,24.5263879313134,"Exito"
42,"Srv_B",37.302798677801,83.9882122869603,"Exito"
43,"Srv_A",50.047649969709,35.2541414157022,"Exito"
44,"Srv_A",67.1163848631733,25.8936132548843,"Exito"
45,"Srv_A",43.4032537912009,25.6418359996751,"Exito"
46,"Srv_B",45.049330761925,59.0148937911727,"Exito"
47,"Srv_B",30.6064387963288,7.312675004825,"Exito"
48,"Srv_B",47.4618544922529,86.5906443255953,"Exito"
49,"Srv_B",44.68482367965,38.1442858800292,"Exito"
50,"Srv_A",53.0782073662698,84.3332448492292,"Exito"
51,"Srv_B",32.0897841119262,93.7225288073532,"Exito"
52,"Srv_A",44.0240349717616,89.28232651297,"Exito"
53,"Srv_A",39.1668870589152,16.8723966944963,"Exito"
54,"Srv_B",28.9530238138172,88.412397304317,"Exito"
55,"Srv_B",27.5531843600955,77.9527794341557,"Fallo"
56,"Srv_A",37.072620702459,17.9234635015018,"Exito"
57,"Srv_A",33.705287652852,76.3884871257469,"Fallo"
58,"Srv_B",45.0160226137402,75.3602556844708,"Exito"
59,"Srv_A",52.4346917936191,63.6133003588766,"Exito"
60,"Srv_A",43.8368205116578,70.6696255654097,"Exito"
61,"Srv_A",41.246400438072,23.2600030049216,"Exito"
62,"Srv_B",42.2063217733331,77.0054814314935,"Exito"
63,"Srv_B",49.3620170356153,16.4353951797821,"Exito"
64,"Srv_A",45.3448337667323,22.9676557877101,"Exito"
65,"Srv_A",48.3999175987331,42.4047489645891,"Exito"
66,"Srv_A",52.9683055163441,77.7232325312216,"Exito"
67,"Srv_A",50.9501911658949,73.4159891160671,"Exito"
68,"Srv_B",42.40361896789,16.5833180570044,"Exito"
69,"Srv_B",46.1348731619151,59.9243820582051,"Exito"
70,"Srv_A",33.7488090349367,94.2213334175758,"Exito"
71,"Srv_A",54.4560887678262,96.0201896436047,"Exito"
72,"Srv_A",48.5037845681423,87.6203526484314,"Exito"
73,"Srv_B",46.7868769739356,46.0503025399521,"Exito"
74,"Srv_A",50.2992280361181,38.5878570124041,"Exito"
75,"Srv_A",51.40901834333,23.6294316342101,"Exito"
76,"Srv_B",37.4962620382536,82.4869790924713,"Exito"
77,"Srv_B",46.6075003240673,8.10653327195905,"Exito"
78,"Srv_A",47.0930982266309,23.2139137377962,"Exito"
79,"Srv_A",31.5577628551546,57.5503997523338,"Exito"
80,"Srv_B",38.8320552499121,79.024006737629,"Exito"
81,"Srv_A",58.0999335938989,17.1767101471778,"Exito"
82,"Srv_B",35.0458244001075,81.6359149962664,"Exito"
83,"Srv_B",40.3193396842605,34.1417629120406,"Exito"
84,"Srv_A",58.7622899439657,49.4162243143655,"Exito"
